#   Year     Yield   Prec   Temp    
    1890     703     180   0.000
    1891     742     333   0.300
    1892     996     263  -0.525
    1893    1216     182  -1.525
    1894     835     284  -0.625
    1895     559     420   0.250
    1896     344     360   2.025
    1897     559     230   0.275
    1898     893     252  -1.600
    1899     851     273  -0.375
    1900     602     431   0.375
    1901     466     270   1.250
    1902     764     226  -0.425
    1903     817     303   0.275
    1904     837     390  -0.275
    1905     647     324   0.125
    1906     746     304   0.375
    1907     909     267  -0.900
    1908     701     347  -0.175
    1909     611     362   0.175
    1910     635     197   0.800
    1911     656     447  -1.200
    1912     737     387  -0.025
    1913     434     358   1.075
    1914     735     436  -0.700
    1915     692     222   0.800
    1916     333      98   1.225
    1917     883     226   0.125
    1918     714     385  -0.250
    1919     991     444  -0.900
